"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Dec 20 17:26:22 GMT 2023","Wed Dec 20 17:26:45 GMT 2023","22777","chromium","Text Box Page","HTML/JavaScript Injection","","","Test form with HTML/JavaScript code","Evaluates form security against HTML/JavaScript code injection."
"failed","Wed Dec 20 17:28:54 GMT 2023","Wed Dec 20 17:29:19 GMT 2023","24872","firefox","Text Box Page","Long Input Values","","","Test form with very long input values","Tests form behavior with extremely long input values. Identifies issues with data handling and UI."
"passed","Wed Dec 20 17:24:02 GMT 2023","Wed Dec 20 17:24:08 GMT 2023","5682","chromium","Text Box Page","Single Field Form Submission","","","Fill form with only Current Address","Checks form behavior when only the Current Address is filled."
"passed","Wed Dec 20 17:34:23 GMT 2023","Wed Dec 20 17:34:27 GMT 2023","3599","webkit","Text Box Page","SQL Injection","","","Test form with SQL injection string","Checks form resilience against SQL injection attempts."
"passed","Wed Dec 20 17:26:49 GMT 2023","Wed Dec 20 17:27:08 GMT 2023","18428","firefox","Text Box Page","Complete Form Submission","","","Fill form with all fields","Ensures form functionality works with all fields filled."
"passed","Wed Dec 20 17:29:19 GMT 2023","Wed Dec 20 17:29:24 GMT 2023","4183","firefox","Text Box Page","Special Characters","","","Test form with special characters","Verifies form functionality with special characters in input fields."
"passed","Wed Dec 20 17:32:30 GMT 2023","Wed Dec 20 17:32:36 GMT 2023","6011","webkit","Text Box Page","Single Field Form Submission","","","Fill form with only Current Address","Checks form behavior when only the Current Address is filled."
"passed","Wed Dec 20 17:23:56 GMT 2023","Wed Dec 20 17:23:59 GMT 2023","3688","chromium","Text Box Page","Partial Form Submission","","","Fill form with only Name and Email","Verifies form functionality with only Name and Email fields filled."
"passed","Wed Dec 20 17:23:59 GMT 2023","Wed Dec 20 17:24:02 GMT 2023","2635","chromium","Text Box Page","Complete Form Submission","","","Fill form with all fields","Ensures form functionality works with all fields filled."
"passed","Wed Dec 20 17:32:16 GMT 2023","Wed Dec 20 17:32:23 GMT 2023","7066","webkit","Text Box Page","Partial Form Submission","","","Fill form with only Name and Email","Verifies form functionality with only Name and Email fields filled."
"passed","Wed Dec 20 17:34:16 GMT 2023","Wed Dec 20 17:34:23 GMT 2023","7410","webkit","Text Box Page","Special Characters","","","Test form with special characters","Verifies form functionality with special characters in input fields."
"passed","Wed Dec 20 17:27:38 GMT 2023","Wed Dec 20 17:27:46 GMT 2023","7533","firefox","Text Box Page","Single Field Form Submission","","","Fill form with only Current Address","Checks form behavior when only the Current Address is filled."
"failed","Wed Dec 20 17:35:20 GMT 2023","Wed Dec 20 17:36:01 GMT 2023","40609","webkit","Text Box Page","HTML/JavaScript Injection","","","Test form with HTML/JavaScript code","Evaluates form security against HTML/JavaScript code injection."
"failed","Wed Dec 20 17:33:50 GMT 2023","Wed Dec 20 17:34:16 GMT 2023","25976","webkit","Text Box Page","Long Input Values","","","Test form with very long input values","Tests form behavior with extremely long input values. Identifies issues with data handling and UI."
"passed","Wed Dec 20 17:32:36 GMT 2023","Wed Dec 20 17:32:38 GMT 2023","2352","webkit","Text Box Page","Empty Form Submission","","","Submit empty form","Tests the behavior of submitting an empty form."
"failed","Wed Dec 20 17:30:26 GMT 2023","Wed Dec 20 17:30:52 GMT 2023","26053","firefox","Text Box Page","HTML/JavaScript Injection","","","Test form with HTML/JavaScript code","Evaluates form security against HTML/JavaScript code injection."
"passed","Wed Dec 20 17:29:24 GMT 2023","Wed Dec 20 17:29:27 GMT 2023","3017","firefox","Text Box Page","SQL Injection","","","Test form with SQL injection string","Checks form resilience against SQL injection attempts."
"failed","Wed Dec 20 17:25:03 GMT 2023","Wed Dec 20 17:25:26 GMT 2023","23269","chromium","Text Box Page","Long Input Values","","","Test form with very long input values","Tests form behavior with extremely long input values. Identifies issues with data handling and UI."
"passed","Wed Dec 20 17:25:29 GMT 2023","Wed Dec 20 17:25:33 GMT 2023","3934","chromium","Text Box Page","SQL Injection","","","Test form with SQL injection string","Checks form resilience against SQL injection attempts."
"passed","Wed Dec 20 17:26:45 GMT 2023","Wed Dec 20 17:26:49 GMT 2023","4142","firefox","Text Box Page","Partial Form Submission","","","Fill form with only Name and Email","Verifies form functionality with only Name and Email fields filled."
"passed","Wed Dec 20 17:32:23 GMT 2023","Wed Dec 20 17:32:30 GMT 2023","7058","webkit","Text Box Page","Complete Form Submission","","","Fill form with all fields","Ensures form functionality works with all fields filled."
"passed","Wed Dec 20 17:24:08 GMT 2023","Wed Dec 20 17:24:12 GMT 2023","4386","chromium","Text Box Page","Empty Form Submission","","","Submit empty form","Tests the behavior of submitting an empty form."
"passed","Wed Dec 20 17:27:46 GMT 2023","Wed Dec 20 17:27:50 GMT 2023","4380","firefox","Text Box Page","Empty Form Submission","","","Submit empty form","Tests the behavior of submitting an empty form."
"passed","Wed Dec 20 17:25:27 GMT 2023","Wed Dec 20 17:25:29 GMT 2023","2530","chromium","Text Box Page","Special Characters","","","Test form with special characters","Verifies form functionality with special characters in input fields."
